ID,Name,Contributor,Citation,Examples_Count,Media_IDs
01_tci20131013v-01_kwafar,Kwafar - The place of origin in Kwafar,Abia Bai,"Abia Bai. 2024. Kwafar - The place of origin in Kwafar. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",253,01_tci20131013v-01_kwafar.eaf
02_tci20120922a-08_masu,Masu - The village of Masu  ,Daure (Srik) Kaumb,"Daure (Srik) Kaumb. 2024. Masu - The village of Masu. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",111,02_tci20120922a-08_masu.eaf
03_tci20110802a_safak_menz_a_faikore_menz,Safak menz a faikore menz - Saratoga and Bushfowl man  ,Abia Bai,"Abia Bai. 2024. Safak menz a faikore menz - Saratoga and Bushfowl man. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",110,03_tci20110802a_safak_menz_a_faikore_menz.eaf
04_tci20111107a-01_ebar_zan_firran,Ebar zan firran - The headhunting raid at Firra  ,Maraga Kwozi,"Maraga Kwozi. 2024. Ebar zan firran - The headhunting raid at Firra. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",151,04_tci20111107a-01_ebar_zan_firran.eaf
05_tci20111119v-01_faw_brigsi,Faw brigsi - The revenge attack  ,Abia Bai,"Abia Bai. 2024. Faw brigsi - The revenge attack. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",135,05_tci20111119v-01_faw_brigsi.eaf
06_tci20111119a-06_nzürna_trikasi_watayan,Nzürna trikasi watayan - The Nzürna story at Wataya forest  ,Marua Bai,"Marua Bai. 2024. Nzürna trikasi watayan - The Nzürna story at Wataya forest. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",117,06_tci20111119a-06_nzürna_trikasi_watayan.eaf
07_tci20120901a-01_nzürna_trikasi_firran,Nzürna trikasi firran - The Nzürna story at Firra  ,Maraga Kwozi,"Maraga Kwozi. 2024. Nzürna trikasi firran - The Nzürna story at Firra. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",189,07_tci20120901a-01_nzürna_trikasi_firran.eaf
08_tci20120827a-03_nzürna_trikasi_bresanema,Nzürna trikasi bresanema - The Nzürna story about Bres  ,Kurai Tawéth,"Kurai Tawéth. 2024. Nzürna trikasi bresanema - The Nzürna story about Bres. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",166,08_tci20120827a-03_nzürna_trikasi_bresanema.eaf
09_tci20100905_kukufia,Kukufia - The short man Kukufia  ,Abia Bai,"Abia Bai. 2024. Kukufia - The short man Kukufia. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",90,09_tci20100905_kukufia.eaf
10_tci20130903v-04_fenz_yonasi,Fenz yonasi - Drinking body fluids  ,Ruth Nakre Abia,"Ruth Nakre Abia. 2024. Fenz yonasi - Drinking body fluids. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",115,10_tci20130903v-04_fenz_yonasi.eaf
11_tci20120909v-06_masis,Masis - Matches  ,Kaumb Bai,"Kaumb Bai. 2024. Masis - Matches. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",103,11_tci20120909v-06_masis.eaf
12_tci20120821a-02_fiyaf_trikasi,Fiyaf trikasi - A hunting story  ,Lucy (Néfiam) Abia,"Lucy (Néfiam) Abia. 2024. Fiyaf trikasi - A hunting story. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",72,12_tci20120821a-02_fiyaf_trikasi.eaf
13_tci20130903v-03_fiyaf_trikasi,Fiyaf trikasi - A hunting story  ,Maembu Kwozi,"Maembu Kwozi. 2024. Fiyaf trikasi - A hunting story. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",147,13_tci20130903v-03_fiyaf_trikasi.eaf
14_tci20150919v-05_ausi,Ausi - The old woman  ,Lucy (Néfiyam) Abia,"Lucy (Néfiyam) Abia. 2024. Ausi - The old woman. In Christian Döhler (ed.), Speaking the map: Komnzo Texts (Open Text Collections 1). Berlin: Language Science Press.",211,14_tci20150919v-05_ausi.eaf
